player_id,team_id,matches,goals,shirt_number,debut,coach_id,debut_game_id,career_state
1009616,26425,1,0,17,,75263.0,4343461.0,CURRENT_NATIONAL_PLAYER
1009633,21142,3,1,7,,75263.0,4718824.0,CURRENT_NATIONAL_PLAYER
1009658,3437,0,0,21,,,,CURRENT_NATIONAL_PLAYER
1009658,11940,7,0,3,,95593.0,4182252.0,RECENT_NATIONAL_PLAYER
1009622,21142,3,0,3,,75263.0,4718824.0,CURRENT_NATIONAL_PLAYER
1009732,25514,3,0,0,,76250.0,4449872.0,RECENT_NATIONAL_PLAYER
1009765,12609,3,0,15,,58621.0,4618549.0,RECENT_NATIONAL_PLAYER
1009765,20947,0,0,0,,,,CURRENT_NATIONAL_PLAYER
100986,3382,73,9,15,,430.0,2379650.0,CURRENT_NATIONAL_PLAYER
1009730,28164,0,0,0,,,,CURRENT_NATIONAL_PLAYER
1009730,31200,4,1,0,,61445.0,4575336.0,CURRENT_NATIONAL_PLAYER
1009733,25514,5,1,7,,76250.0,4553257.0,RECENT_NATIONAL_PLAYER
1010120,16373,9,1,8,,10566.0,4454042.0,CURRENT_NATIONAL_PLAYER
1010296,28164,0,0,0,,,,RECENT_NATIONAL_PLAYER
1010296,31200,2,1,0,,84353.0,4573375.0,RECENT_NATIONAL_PLAYER
1010300,11946,5,3,11,,61445.0,4387516.0,RECENT_NATIONAL_PLAYER
1010300,28164,6,0,0,,61445.0,4310377.0,RECENT_NATIONAL_PLAYER
101031,3504,33,0,22,,5595.0,911990.0,CURRENT_NATIONAL_PLAYER
1010640,13958,1,0,22,,15093.0,4708650.0,CURRENT_NATIONAL_PLAYER
1010854,23101,14,0,8,,42042.0,4263218.0,RECENT_NATIONAL_PLAYER
1010904,32643,11,0,6,,108267.0,4386479.0,CURRENT_NATIONAL_PLAYER
1011147,21340,11,3,11,,105317.0,4447743.0,CURRENT_NATIONAL_PLAYER
1011669,22514,8,0,8,,47081.0,4447750.0,CURRENT_NATIONAL_PLAYER
1011738,21340,0,0,0,,9635.0,2371100.0,CURRENT_NATIONAL_PLAYER
1011738,31269,7,0,0,,89675.0,4447744.0,RECENT_NATIONAL_PLAYER
101201,9315,14,4,9,,,,RETIRED_NATIONAL_PLAYER
101201,16337,9,3,0,,,,RETIRED_NATIONAL_PLAYER
101201,16338,18,2,17,,,,RETIRED_NATIONAL_PLAYER
101201,16339,2,1,0,,,,RETIRED_NATIONAL_PLAYER
101201,23219,8,3,0,,,,RETIRED_NATIONAL_PLAYER
101213,9567,2,0,18,,6615.0,2289809.0,RETIRED_NATIONAL_PLAYER
101213,12395,2,0,0,,,,RETIRED_NATIONAL_PLAYER
101213,12609,3,0,6,,6765.0,3905154.0,RETIRED_NATIONAL_PLAYER
101213,13485,19,3,14,,38235.0,3112980.0,RECENT_NATIONAL_PLAYER
101213,20911,0,0,0,,,,RETIRED_NATIONAL_PLAYER
1012534,6186,10,4,0,,2399.0,4083714.0,CURRENT_NATIONAL_PLAYER
