club_id,club_slug,club_name,logo_url,country_name,season_id,competition_id,competition_slug,competition_name,club_division,source_url,_last_modified_at
266,sv-ried,SV Ried (266),https://tmssl.akamaized.net//images/wappen/head/266.png?lm=1749908295,Austria,2004,A1,bundesliga,Bundesliga,Bundesliga,https://www.transfermarkt.com/sv-ried/startseite/verein/266/saison_id/2004,2025-09-13 11:02:46
2672,apo-levadiakos,APO Levadiakos (2672),https://tmssl.akamaized.net//images/wappen/head/2672.png?lm=1410074899,Greece,2009,GR1,super-league-1,Super League 1,Super League 1,https://www.transfermarkt.com/apo-levadiakos/startseite/verein/2672/saison_id/2009,2025-09-13 12:22:45
26629,al-markhiya-sports-club,Al-Markhiya SC (26629),https://tmssl.akamaized.net//images/wappen/head/26629.png?lm=1730162360,Qatar,2013,QU2L,qatari-second-division,Qatari Second Division,Qatari Second Division,https://www.transfermarkt.com/al-markhiya-sports-club/startseite/verein/26629/saison_id/2013,2025-09-13 12:20:10
26856,fc-chauray,FC Chauray (26856),https://tmssl.akamaized.net//images/wappen/head/26856.png?lm=1459582369,France,2014,CN2A,championnat-national-2-groupe-a,Championnat National 2 - Groupe A,Championnat National 2 - Groupe A,https://www.transfermarkt.com/fc-chauray/startseite/verein/26856/saison_id/2014,2025-09-13 09:41:58
269,holstein-kiel,Holstein Kiel (269),https://tmssl.akamaized.net//images/wappen/head/269.png?lm=1740400529,Germany,2021,L2,2-bundesliga,2. Bundesliga,2. Bundesliga,https://www.transfermarkt.com/holstein-kiel/startseite/verein/269/saison_id/2021,2025-09-13 09:23:15
2697,sanfrecce-hiroshima,Sanfrecce Hiroshima (2697),https://tmssl.akamaized.net//images/wappen/head/2697.png?lm=1455563761,Japan,2011,JAP1,j1-league,J1 League,J1 League,https://www.transfermarkt.com/sanfrecce-hiroshima/startseite/verein/2697/saison_id/2011,2025-09-13 11:15:50
2698,rubin-kazan,Rubin Kazan (2698),https://tmssl.akamaized.net//images/wappen/head/2698.png?lm=1561987986,Russia,2014,RU1,premier-liga,Premier Liga,Premier Liga,https://www.transfermarkt.com/rubin-kazan/startseite/verein/2698/saison_id/2014,2025-09-13 11:58:06
2687,fc-cadiz,Cádiz CF (2687),https://tmssl.akamaized.net//images/wappen/head/2687.png?lm=1683542431,Spain,2013,ES2,laliga2,LaLiga2,LaLiga2,https://www.transfermarkt.com/fc-cadiz/startseite/verein/2687/saison_id/2013,2025-09-13 09:05:38
2696,krylya-sovetov-samara,Krylya Sovetov Samara (2696),https://tmssl.akamaized.net//images/wappen/head/2696.png?lm=1658044381,Russia,2006,RU1,premier-liga,Premier Liga,Premier Liga,https://www.transfermarkt.com/krylya-sovetov-samara/startseite/verein/2696/saison_id/2006,2025-09-13 12:01:29
2719,mjallby-aif,Mjällby AIF (2719),https://tmssl.akamaized.net//images/wappen/head/2719.png?lm=1414431429,Sweden,2012,SE1,allsvenskan,Allsvenskan,Allsvenskan,https://www.transfermarkt.com/mjallby-aif/startseite/verein/2719/saison_id/2012,2025-09-13 10:47:18
27,fc-bayern-munchen,Bayern Munich (27),https://tmssl.akamaized.net//images/wappen/head/27.png?lm=1729503608,Germany,2000,L1,bundesliga,Bundesliga,Bundesliga,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2000,2025-09-13 09:41:54
272,aik-solna,AIK (272),https://tmssl.akamaized.net//images/wappen/head/272.png?lm=1669122843,Sweden,2012,SE1,allsvenskan,Allsvenskan,Allsvenskan,https://www.transfermarkt.com/aik-solna/startseite/verein/272/saison_id/2012,2025-09-13 10:46:33
27190,shanghai-port,Shanghai Port (27190),https://tmssl.akamaized.net//images/wappen/head/27190.png?lm=1702165860,China,2013,CSL,chinese-super-league,Chinese Super League,Chinese Super League,https://www.transfermarkt.com/shanghai-port/startseite/verein/27190/saison_id/2013,2025-09-13 12:18:14
273,fc-stade-rennes,Stade Rennais FC (273),https://tmssl.akamaized.net//images/wappen/head/273.png?lm=1691503972,France,2021,FR1,ligue-1,Ligue 1,Ligue 1,https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273/saison_id/2021,2025-09-13 10:24:52
2745,polonia-warschau,Polonia Warsaw (2745),https://tmssl.akamaized.net//images/wappen/head/2745.png?lm=1737743625,Poland,2001,PL2,fortuna-1-liga,Betclic 1 Liga,Betclic 1 Liga,https://www.transfermarkt.com/polonia-warschau/startseite/verein/2745/saison_id/2001,2025-09-13 10:59:48
2761,fk-haugesund,FK Haugesund (2761),https://tmssl.akamaized.net//images/wappen/head/2761.png?lm=1515836744,Norway,2000,NO1,eliteserien,Eliteserien,Eliteserien,https://www.transfermarkt.com/fk-haugesund/startseite/verein/2761/saison_id/2000,2025-09-13 13:23:19
2727,oud-heverlee-leuven,Oud-Heverlee Leuven (2727),https://tmssl.akamaized.net//images/wappen/head/2727.png?lm=1723796027,Belgium,2016,BE1,jupiler-pro-league,Jupiler Pro League,Jupiler Pro League,https://www.transfermarkt.com/oud-heverlee-leuven/startseite/verein/2727/saison_id/2016,2025-09-13 11:44:59
276,hellas-verona,Hellas Verona (276),https://tmssl.akamaized.net//images/wappen/head/276.png?lm=1617228746,Italy,2022,IT1,serie-a,Serie A,Serie A,https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2022,2025-09-13 09:04:10
2741,baltika-kaliningrad,Baltika Kaliningrad (2741),https://tmssl.akamaized.net//images/wappen/head/2741.png?lm=1673959895,Russia,2023,RU1,premier-liga,Premier Liga,Premier Liga,https://www.transfermarkt.com/baltika-kaliningrad/startseite/verein/2741/saison_id/2023,2025-09-12 14:46:41
2778,fc-nordsjaelland,FC Nordsjaelland (2778),https://tmssl.akamaized.net//images/wappen/head/2778.png?lm=1564262814,Denmark,2015,DK1,superligaen,Superliga,Superliga,https://www.transfermarkt.com/fc-nordsjaelland/startseite/verein/2778/saison_id/2015,2025-09-13 11:22:20
2760,partick-thistle-fc,Partick Thistle FC (2760),https://tmssl.akamaized.net//images/wappen/head/2760.png?lm=1416262803,Scotland,2015,SC2,scottish-championship,Scottish Championship,Scottish Championship,https://www.transfermarkt.com/partick-thistle-fc/startseite/verein/2760/saison_id/2015,2025-09-13 12:33:57
279,ferencvaros-budapest,Ferencvárosi TC (279),https://tmssl.akamaized.net//images/wappen/head/279.png?lm=1565263263,Hungary,2023,UNG1,nemzeti-bajnoksag,Nemzeti Bajnokság,Nemzeti Bajnokság,https://www.transfermarkt.com/ferencvaros-budapest/startseite/verein/279/saison_id/2023,2025-09-13 12:43:13
28,fc-bayern-munchen-ii,FC Bayern Munich II (28),https://tmssl.akamaized.net//images/wappen/head/28.png?lm=1729503608,Germany,2022,RLB3,regionalliga-bayern,Regionalliga Bayern,Regionalliga Bayern,https://www.transfermarkt.com/fc-bayern-munchen-ii/startseite/verein/28/saison_id/2022,2025-09-13 10:40:46
2805,wycombe-wanderers,Wycombe Wanderers (2805),https://tmssl.akamaized.net//images/wappen/head/2805.png?lm=1524827118,England,2025,GB3,league-one,League One,League One,https://www.transfermarkt.com/wycombe-wanderers/startseite/verein/2805/saison_id/2025,2025-09-13 12:49:45
2814,fc-gillingham,Gillingham FC (2814),https://tmssl.akamaized.net//images/wappen/head/2814.png?lm=1462393871,England,2001,GB4,league-two,League Two,League Two,https://www.transfermarkt.com/fc-gillingham/startseite/verein/2814/saison_id/2001,2025-09-13 10:22:28
28107,ksk-lierse-kempenzonen,K Lierse SK (28107),https://tmssl.akamaized.net//images/wappen/head/28107.png?lm=1566998891,Belgium,2024,BE2,proximus-league,Challenger Pro League,Challenger Pro League,https://www.transfermarkt.com/ksk-lierse-kempenzonen/startseite/verein/28107/saison_id/2024,2025-09-13 11:17:59
2790,fc-lugano,FC Lugano (2790),https://tmssl.akamaized.net//images/wappen/head/2790.png?lm=1751367270,Switzerland,2024,C1,super-league,Super League,Super League,https://www.transfermarkt.com/fc-lugano/startseite/verein/2790/saison_id/2024,2025-09-13 11:18:13
2832,gaziantep-fk,Gaziantep FK (2832),https://tmssl.akamaized.net//images/wappen/head/2832.png?lm=1753429399,Türkiye,2008,TR1,super-lig,Süper Lig,Süper Lig,https://www.transfermarkt.com/gaziantep-fk/startseite/verein/2832/saison_id/2008,2025-09-13 10:46:06
2817,stromsgodset-if,Strømsgodset IF (2817),https://tmssl.akamaized.net//images/wappen/head/2817.png?lm=1522008831,Norway,2006,NO1,eliteserien,Eliteserien,Eliteserien,https://www.transfermarkt.com/stromsgodset-if/startseite/verein/2817/saison_id/2006,2025-09-13 13:21:31
281,manchester-city,Manchester City (281),https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,England,2018,GB1,premier-league,Premier League,Premier League,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2025-09-13 09:22:45
